"directory","repo_name","remote_url"
"~/src/actions/github-pages-actions","github-pages-actions","org-132020358@github.com:linkedin-actions/github-pages-actions.git"
"~/src/actions/github-pages","github-pages","org-132020358@github.com:linkedin-actions/github-pages.git"
"~/src/managed/lnkd_envoy","lnkd_envoy","org-132020707@github.com:linkedin-managed/lnkd_envoy.git"
"~/src/multiproduct/authentication-rs","authentication-rs","ssh://org-127256988@github.com/linkedin-multiproduct/authentication-rs.git"
"~/src/multiproduct/authn-cli-go","authn-cli-go","ssh://org-127256988@github.com/linkedin-multiproduct/authn-cli-go.git"
"~/src/multiproduct/authn-cli","authn-cli","ssh://org-127256988@github.com/linkedin-multiproduct/authn-cli"
"~/src/multiproduct/datapolicy-catalog","datapolicy-catalog","ssh://org-127256988@github.com/linkedin-multiproduct/datapolicy-catalog"
"~/src/multiproduct/datavault-acl-service-api","datavault-acl-service-api","ssh://org-127256988@github.com/linkedin-multiproduct/datavault-acl-service-api"
"~/src/multiproduct/datavault-acl-service","datavault-acl-service","ssh://org-127256988@github.com/linkedin-multiproduct/datavault-acl-service"
"~/src/multiproduct/datavault-acl-stats","datavault-acl-stats","ssh://org-127256988@github.com/linkedin-multiproduct/datavault-acl-stats"
"~/src/multiproduct/datavault-change-mgmt","datavault-change-mgmt","ssh://org-127256988@github.com/linkedin-multiproduct/datavault-change-mgmt"
"~/src/multiproduct/datavault-dog-rs","datavault-dog-rs","ssh://org-127256988@github.com/linkedin-multiproduct/datavault-dog-rs.git"
"~/src/multiproduct/datavault-dog","datavault-dog","ssh://org-127256988@github.com/linkedin-multiproduct/datavault-dog"
"~/src/multiproduct/datavault-token-service","datavault-token-service","ssh://org-127256988@github.com/linkedin-multiproduct/datavault-token-service"
"~/src/multiproduct/example-flyer-sso","example-flyer-sso","ssh://org-127256988@github.com/linkedin-multiproduct/example-flyer-sso"
"~/src/multiproduct/go-interservice-auth","go-interservice-auth","ssh://org-127256988@github.com/linkedin-multiproduct/go-interservice-auth"
"~/src/multiproduct/go-lare-cli","go-lare-cli","ssh://org-127256988@github.com/linkedin-multiproduct/go-lare-cli"
"~/src/multiproduct/gopki","gopki","ssh://org-127256988@github.com/linkedin-multiproduct/gopki"
"~/src/multiproduct/groot-policy-manager","groot-policy-manager","ssh://org-127256988@github.com/linkedin-multiproduct/groot-policy-manager.git"
"~/src/multiproduct/grpc-sample-rust","grpc-sample-rust","org-127256988@github.com:linkedin-multiproduct/grpc-sample-rust.git"
"~/src/multiproduct/id-tools","id-tools","ssh://org-127256988@github.com/linkedin-multiproduct/id-tools"
"~/src/multiproduct/indis-envoy-build-image","indis-envoy-build-image","ssh://org-127256988@github.com/linkedin-multiproduct/indis-envoy-build-image"
"~/src/multiproduct/indis-envoy-src","lnkd_envoy","ssh://org-132020707@github.com/linkedin-managed/lnkd_envoy.git"
"~/src/multiproduct/interservice-auth-acl-rs","interservice-auth-acl-rs","ssh://org-127256988@github.com/linkedin-multiproduct/interservice-auth-acl-rs"
"~/src/multiproduct/interservice-auth-sidecar","interservice-auth-sidecar","ssh://org-127256988@github.com/linkedin-multiproduct/interservice-auth-sidecar.git"
"~/src/multiproduct/interservice-auth","interservice-auth","ssh://org-127256988@github.com/linkedin-multiproduct/interservice-auth"
"~/src/multiproduct/k8s-infra-webhooks","k8s-infra-webhooks","ssh://org-127256988@github.com/linkedin-multiproduct/k8s-infra-webhooks"
"~/src/multiproduct/key-management-service-api","key-management-service-api","ssh://org-127256988@github.com/linkedin-multiproduct/key-management-service-api"
"~/src/multiproduct/key-management-service-audit-api","key-management-service-audit-api","ssh://org-127256988@github.com/linkedin-multiproduct/key-management-service-audit-api"
"~/src/multiproduct/key-management-service-audit","key-management-service-audit","ssh://org-127256988@github.com/linkedin-multiproduct/key-management-service-audit"
"~/src/multiproduct/key-management-service-client","key-management-service-client","ssh://org-127256988@github.com/linkedin-multiproduct/key-management-service-client"
"~/src/multiproduct/key-management-service","key-management-service","ssh://org-127256988@github.com/linkedin-multiproduct/key-management-service"
"~/src/multiproduct/kms-azure-services","kms-azure-services","ssh://org-127256988@github.com/linkedin-multiproduct/kms-azure-services.git"
"~/src/multiproduct/kubectl-in","kubectl-in","ssh://org-127256988@github.com/linkedin-multiproduct/kubectl-in"
"~/src/multiproduct/lipy-datavault","lipy-datavault","ssh://org-127256988@github.com/linkedin-multiproduct/lipy-datavault"
"~/src/multiproduct/lipy-pki","lipy-pki","ssh://org-127256988@github.com/linkedin-multiproduct/lipy-pki"
"~/src/multiproduct/mint","mint","ssh://org-127256988@github.com/linkedin-multiproduct/mint"
"~/src/multiproduct/observability-rs","observability-rs","org-127256988@github.com:linkedin-multiproduct/observability-rs.git"
"~/src/multiproduct/pki-logbased-alerts","pki-logbased-alerts","ssh://org-127256988@github.com/linkedin-multiproduct/pki-logbased-alerts.git"
"~/src/multiproduct/secinfradocs","secinfradocs","org-127256988@github.com:linkedin-multiproduct/secinfradocs.git"
"~/src/multiproduct/secure-token-service","secure-token-service","ssh://org-127256988@github.com/linkedin-multiproduct/secure-token-service.git"
"~/src/multiproduct/security-attribute-service","security-attribute-service","ssh://org-127256988@github.com/linkedin-multiproduct/security-attribute-service.git"
"~/src/multiproduct/spiffe-spire","spiffe-spire","ssh://org-127256988@github.com/linkedin-multiproduct/spiffe-spire"
"~/src/multiproduct/spire-lipki","spire-lipki","ssh://org-127256988@github.com/linkedin-multiproduct/spire-lipki"
"~/src/multiproduct/traffic-gateway-sidecar","traffic-gateway-sidecar","ssh://org-127256988@github.com/linkedin-multiproduct/traffic-gateway-sidecar"
"~/src/multiproduct/traffic-gateway","traffic-gateway","ssh://org-127256988@github.com/linkedin-multiproduct/traffic-gateway"
"~/src/multiproduct/trust-bridge-ingress","trust-bridge-ingress","ssh://org-127256988@github.com/linkedin-multiproduct/trust-bridge-ingress.git"
"~/src/multiproduct/workload-identity-registry","workload-identity-registry","ssh://org-127256988@github.com/linkedin-multiproduct/workload-identity-registry.git"
"~/src/sandbox/dev-rerickso","dev-rerickso","org-132020694@github.com:linkedin-sandbox/dev-rerickso"
"~/src/sandbox/product-launch-calendar","product-launch-calendar","org-132020694@github.com:linkedin-sandbox/product-launch-calendar.git"
"~/src/sandbox/rerickso-talent-agent","rerickso-talent-agent","org-132020694@github.com:linkedin-sandbox/rerickso-talent-agent.git"
"~/src/third-party/envoy-dynamic-modules","envoy-dynamic-modules","git@github.com:mathetake/envoy-dynamic-modules.git"
"~/src/third-party/envoy-filter-example","envoy-filter-example","git@github.com:envoyproxy/envoy-filter-example.git"
"~/src/third-party/envoy","envoy","git@github.com:envoyproxy/envoy.git"
