Holiday,Date,Day of the Week
New Year's Day,January 1 2026,Thursday
Martin Luther King Jr. Day,January 19 2026,Monday
President's Day,February 16 2026,Monday
Memorial Day,May 25 2026,Monday
Juneteenth,June 19 2026,Friday
US July 4th Break,July 6 2026,Monday
US July 4th Break,July 7 2026,Tuesday
US July 4th Break,July 8 2026,Wednesday
US July 4th Break,July 9 2026,Thursday
US July 4th Break,July 10 2026,Friday
Labor Day,September 7 2026,Monday
Indigenous Peoples' Day,October 12 2026,Monday
Veteran's Day,November 11 2026,Wednesday
Thanksgiving Day,November 26 2026,Thursday
Day After Thanksgiving,November 27 2026,Friday
Christmas Day,December 25 2026,Friday
Company Year End Shutdown,December 28 2026,Monday
Company Year End Shutdown,December 29 2026,Tuesday
Company Year End Shutdown,December 30 2026,Wednesday
Company Year End Shutdown,December 31 2026,Thursday
New Year's Day,January 1 2027,Friday
